"","price","mtq","lat","lon","id_nil"
"1",180000,90,45.52138,9.152537,82
"2",185000,65,45.530199,9.162491,82
"3",130000,55,45.526389,9.161111,82
"4",105000,80,45.527742,9.158737,82
"5",80896,79,45.524799,9.16256,82
"6",60416,59,45.528702,9.15815,82
"7",52500,55,45.52407,9.162818,82
"8",42750,43,45.5284,9.16163,82
"9",114000,65,45.525251,9.160868,82
"10",42750,43,45.528456,9.161664,82
"11",163000,100,45.526154,9.162419,82
"12",120000,60,45.526343,9.159321,82
"13",85500,58,45.5256,9.16046,82
"14",179000,100,45.5281,9.158648,82
"15",47250,80,45.528084,9.15864,82
"16",185000,60,45.52428,9.1697,82
"17",320000,107,45.486114,9.132349,66
"18",395000,85,45.487829,9.13867,66
"19",190000,72,45.483109,9.140093,66
"20",460000,120,45.48548,9.144135,66
"21",170000,55,45.453725,9.226695,29
"22",175000,71,45.451503,9.226534,29
"23",210000,60,45.453007,9.226602,29
"24",399000,115,45.453624,9.226877,29
"25",160000,48,45.454777,9.226517,29
"26",238000,72,45.450995,9.224494,29
"27",220000,60,45.453103,9.225135,29
"28",145000,40,45.451555,9.224756,29
"29",140000,55,45.454613,9.225042,29
"30",169000,63,45.45182,9.22681,29
"31",80000,54,45.4531,9.2255,29
"32",60000,54,45.453098,9.2255,29
"33",60000,54,45.453107,9.225577,29
"34",179000,55,45.4562,9.2264,29
"35",85000,56,45.45455,9.22502,29
"36",63750,57,45.454601,9.22502,29
"37",137000,70,45.452934,9.228149,29
"38",385000,114,45.452063,9.225726,29
"39",150000,60,45.457146,9.224407,29
"40",245000,90,45.450916,9.228457,29
"41",95000,45,45.452928,9.22776,29
"42",234000,70,45.450635,9.226916,29
"43",228000,81,45.504602,9.123397,72
"44",94000,54,45.502707,9.12778,72
"45",235000,88,45.503527,9.122528,72
"46",233000,90,45.505368,9.125491,72
"47",199000,91,45.502605,9.127041,72
"48",165000,85,45.501221,9.123732,72
"49",289000,110,45.504613,9.127022,72
"50",170000,72,45.502536,9.128709,72
"51",108000,55,45.504002,9.124284,72
"52",63000,61,45.501123,9.12769,72
"53",63000,61,45.501202,9.12759,72
"54",133000,89,45.500192,9.126313,72
"55",65000,65,45.502413,9.127422,72
"56",290000,110,45.502504,9.12685,72
"57",51750,53,45.502245,9.123914,72
"58",51750,53,45.502102,9.12408,72
"59",77625,89,45.501598,9.12298,72
"60",129000,78,45.501626,9.123012,72
"61",195000,100,45.50093,9.122018,72
"62",405000,201,45.499627,9.128134,72
"63",150000,90,45.503066,9.123489,72
"64",270000,100,45.504048,9.123784,72
"65",165000,80,45.503369,9.124463,72
"66",110000,60,45.50493,9.105102,72
"67",245000,93,45.509201,9.0997,72
"68",283000,107,45.509102,9.0999,72
"69",230000,103,45.508851,9.100018,72
"70",230000,106,45.507583,9.100795,72
"71",115000,50,45.50499,9.105134,72
"72",330000,128,45.50171,9.116628,72
"73",250000,85,45.493425,9.233861,18
"74",249000,128,45.497635,9.24261,18
"75",249000,87,45.487842,9.238574,18
"76",58464,63,45.502399,9.2457,18
"77",142500,98,45.50385,9.24934,18
"78",370000,130,45.500421,9.246257,18
"79",210000,100,45.496557,9.239956,18
"80",269000,94,45.487918,9.237027,18
"81",198000,56,45.495992,9.238716,18
"82",68250,44,45.492298,9.2332,18
"83",120000,33,45.486067,9.245968,18
"84",163000,55,45.492739,9.235377,18
"85",142500,93,45.504398,9.24982,18
"86",142500,93,45.5038,9.24934,18
"87",180000,50,45.49144,9.23409,18
"88",180000,80,45.501922,9.246794,18
"89",125000,38,45.496852,9.238095,18
"90",200000,100,45.489005,9.234229,18
"91",189000,71,45.487923,9.241131,18
"92",399000,100,45.488041,9.235605,18
"93",290000,110,45.499676,9.241931,18
"94",465000,124,45.489613,9.236822,18
"95",240000,56,45.492146,9.23374,18
"96",630000,160,45.48564,9.12799,65
"97",410000,120,45.486346,9.126475,65
"98",215000,78,45.486057,9.128161,65
"99",215000,83,45.494937,9.123042,65
"100",150000,88,45.497445,9.121564,65
"101",215000,106,45.492224,9.121636,65
"102",203000,90,45.489095,9.125128,65
"103",167000,85,45.496717,9.123592,65
"104",149000,85,45.497294,9.122152,65
"105",165000,90,45.492047,9.123411,65
"106",249000,110,45.491503,9.121645,65
"107",320000,106,45.488824,9.120508,65
"108",640000,160,45.487276,9.126788,65
"109",250000,93,45.494754,9.127389,65
"110",189000,90,45.495883,9.126902,65
"111",205000,90,45.493043,9.122129,65
"112",180000,87,45.497859,9.10598,65
"113",133000,70,45.501975,9.097009,65
"114",210000,90,45.503671,9.101947,65
"115",165000,90,45.497228,9.10345,65
"116",225000,120,45.499809,9.105074,65
"117",180000,94,45.503994,9.103898,65
"118",180000,90,45.505665,9.098804,65
"119",230000,90,45.502522,9.100985,65
"120",145000,75,45.502353,9.105949,65
"121",229000,110,45.498806,9.098712,65
"122",175000,110,45.505348,9.100479,65
"123",259000,110,45.49635,9.111941,65
"124",240000,92,45.491315,9.116088,65
"125",321000,117,45.500662,9.110243,65
"126",270000,98,45.500409,9.111035,65
"127",265000,115,45.501405,9.115123,65
"128",345000,135,45.501508,9.108712,65
"129",230000,96,45.490686,9.119582,65
"130",260000,106,45.49825,9.117757,65
"131",248000,110,45.497501,9.114652,65
"132",138000,65,45.494166,9.112434,65
"133",159000,88,45.49427,9.10877,65
"134",119250,88,45.494301,9.10877,65
"135",208000,91,45.498845,9.108733,65
"136",119250,88,45.494278,9.108804,65
"137",165000,110,45.497519,9.116073,65
"138",158000,84,45.492888,9.110261,65
"139",359000,128,45.500676,9.110208,65
"140",188000,90,45.49368,9.112825,65
"141",175000,110,45.497901,9.117435,65
"142",329000,110,45.50054,9.10999,65
"143",229000,87,45.498055,9.113232,65
"144",440000,143,45.488053,9.117931,65
"145",570000,135,45.477,9.134417,60
"146",97000,50,45.472321,9.132309,60
"147",390000,130,45.477165,9.141046,60
"148",169000,78,45.47237,9.13223,60
"149",258000,72,45.47388,9.13264,60
"150",290000,153,45.474349,9.131932,60
"151",258000,72,45.473954,9.132591,60
"152",430000,140,45.473657,9.130206,60
"153",400000,100,45.477182,9.132968,60
"154",42750,52,45.474848,9.136634,60
"155",177000,75,45.47261,9.132273,60
"156",78750,72,45.475326,9.138522,60
"157",84000,65,45.474563,9.136247,60
"158",240000,90,45.47492,9.132115,60
"159",749000,200,45.476602,9.135277,60
"160",440000,105,45.474359,9.134293,60
"161",550000,140,45.475979,9.137155,60
"162",390000,130,45.477252,9.141165,60
"163",258000,71,45.474146,9.132213,60
"164",215000,100,45.468869,9.12794,60
"165",520000,145,45.46919,9.1251,60
"166",775000,153,45.482078,9.118663,60
"167",720000,150,45.484425,9.115038,60
"168",640000,200,45.47934,9.11726,60
"169",850000,158,45.484243,9.115092,60
"170",325000,125,45.473215,9.118225,60
"171",180000,55,45.475479,9.113906,60
"172",395000,75,45.479357,9.115141,60
"173",670000,140,45.481213,9.114957,60
"174",495000,95,45.482216,9.114626,60
"175",710000,200,45.483241,9.118199,60
"176",310000,105,45.473055,9.118978,60
"177",350000,115,45.476351,9.111933,60
"178",350000,115,45.47617,9.11522,60
"179",325000,120,45.475698,9.118647,60
"180",565000,160,45.479339,9.117255,60
"181",370000,110,45.476192,9.11272,60
"182",540000,131,45.481643,9.118814,60
"183",450000,135,45.48142,9.12459,60
"184",625000,150,45.474898,9.123624,60
"185",125000,50,45.478124,9.123962,60
"186",410000,115,45.474549,9.12488,60
"187",530000,120,45.471599,9.128861,60
"188",418000,127,45.472026,9.123539,60
"189",330000,120,45.478368,9.123235,60
"190",360000,95,45.474329,9.123695,60
"191",165000,41,45.47094,9.122693,60
"192",495000,150,45.473509,9.123383,60
"193",360000,110,45.47043,9.12738,60
"194",145000,50,45.47126,9.12504,60
"195",139000,45,45.473275,9.127191,60
"196",490000,140,45.469933,9.128122,60
"197",640000,146,45.471653,9.125879,60
"198",205000,70,45.472253,9.128215,60
"199",379000,90,45.4884,9.165513,70
"200",498000,120,45.493564,9.16428,70
"201",229000,50,45.487336,9.171791,70
"202",440000,131,45.49418,9.161462,70
"203",307000,81,45.488255,9.168833,70
"204",489000,120,45.492891,9.164258,70
"205",280000,75,45.490499,9.166226,70
"206",229000,50,45.491509,9.162154,70
"207",520000,155,45.491388,9.164733,70
"208",340000,100,45.491104,9.166857,70
"209",195000,48,45.48935,9.164489,70
"210",595000,125,45.487756,9.170768,70
"211",290000,71,45.493741,9.163821,70
"212",305000,80,45.493846,9.163203,70
"213",530000,150,45.488953,9.16555,70
"214",360000,87,45.487498,9.171647,70
"215",395000,85,45.487541,9.163014,70
